shipment_id,origin,destination,distance_km,cost
0,USA,Germany,3300,2958
1,India,Germany,1300,2855
2,China,USA,4731,4875
3,China,China,4161,4876
4,India,China,1237,3101
5,USA,Germany,5796,4014
6,India,India,6767,1682
7,China,USA,6135,1567
8,Germany,China,1682,1718
9,USA,USA,263,1806
10,USA,India,6693,2841
11,India,Germany,5841,1738
12,USA,Germany,3094,4949
13,USA,India,2376,4251
14,USA,Germany,5307,219
15,USA,Germany,9720,2829
16,Germany,USA,2201,500
17,USA,USA,9330,3680
18,India,China,4164,2653
19,USA,Germany,5297,3907
20,USA,USA,5356,1788
21,China,Germany,3518,4763
22,Germany,USA,6375,4934
23,Germany,India,5264,4824
24,USA,USA,4268,3531
25,India,Germany,8303,279
26,China,USA,7990,1968
27,India,Germany,2838,4347
28,India,Germany,6807,2388
29,Germany,Germany,6077,604
30,USA,USA,4166,4655
31,USA,Germany,3627,3996
32,China,Germany,4703,357
33,Germany,China,3078,1813
34,USA,China,8960,3476
35,India,China,3950,2388
36,Germany,Germany,6411,3307
37,Germany,Germany,1199,3345
38,India,India,8655,2608
39,China,USA,8751,261
40,China,China,5425,1101
41,USA,USA,3456,3928
42,China,USA,1153,4669
43,USA,Germany,5253,2878
44,USA,USA,1934,461
45,China,Germany,124,3816
46,India,USA,3434,1525
47,USA,India,1935,2742
48,China,Germany,8131,1154
49,USA,China,8485,2092
50,China,Germany,9569,4356
51,India,Germany,361,3842
52,USA,China,6507,3229
53,India,China,6291,2616
54,India,China,5979,2933
55,China,Germany,3510,1196
56,Germany,Germany,8448,886
57,Germany,Germany,564,2056
58,USA,China,3163,4516
59,India,Germany,7799,2094
60,Germany,India,7972,3837
61,USA,China,1772,3038
62,China,Germany,6887,2646
63,Germany,Germany,203,336
64,Germany,China,5044,4769
65,USA,USA,7459,4738
66,China,India,4790,3924
67,USA,India,9186,1556
68,China,Germany,5790,2607
69,China,USA,7739,213
70,China,USA,6986,4025
71,India,India,6560,3284
72,Germany,USA,323,4941
73,India,Germany,9502,1789
74,China,USA,1754,2766
75,China,China,737,4702
76,Germany,USA,6078,4126
77,Germany,USA,7971,1027
78,India,India,145,1134
79,Germany,India,8267,4579
80,Germany,USA,975,2620
81,Germany,Germany,6381,2497
82,Germany,China,2384,1791
83,India,China,8716,1949
84,USA,China,4315,2257
85,Germany,India,6669,2185
86,India,USA,1284,510
87,USA,Germany,934,3853
88,Germany,Germany,5795,4977
89,India,China,165,1214
90,India,China,9478,505
91,China,Germany,6518,4878
92,China,Germany,2855,4364
93,India,India,7948,479
94,China,Germany,4898,386
95,USA,USA,4851,1276
96,China,India,700,1610
97,China,India,1377,3557
98,USA,USA,8766,1654
99,China,China,4474,1151
100,India,Germany,3973,3986
101,China,China,9076,1868
102,China,China,774,3303
103,USA,China,1384,2106
104,India,China,8672,4862
105,Germany,Germany,7851,528
106,USA,China,7761,4824
107,Germany,China,2355,4618
108,China,India,8798,4771
109,China,India,5519,2740
110,USA,China,1915,3555
111,China,China,4597,251
112,Germany,China,7130,2388
113,China,USA,6801,1284
114,China,India,3013,481
115,Germany,Germany,7228,3999
116,China,Germany,8061,1093
117,China,Germany,3277,2698
118,Germany,Germany,6507,3261
119,India,USA,2138,2882
120,USA,Germany,888,4857
121,USA,Germany,1903,4851
122,Germany,Germany,4846,485
123,USA,USA,6764,331
124,USA,USA,1442,2024
125,India,Germany,2032,4956
126,Germany,India,4766,2431
127,USA,USA,7371,4190
128,USA,Germany,3974,2660
129,USA,China,4659,3929
130,India,Germany,5640,572
131,USA,India,8187,3648
132,China,India,4195,2346
133,China,Germany,3693,3334
134,India,Germany,5442,3039
135,USA,Germany,1407,886
136,Germany,Germany,9554,3127
137,India,Germany,8931,2046
138,USA,Germany,6782,2047
139,India,Germany,4571,2839
140,USA,Germany,230,2394
141,Germany,China,8196,157
142,Germany,USA,7433,469
143,Germany,USA,2997,1116
144,USA,Germany,2981,1120
145,Germany,India,826,2434
146,India,Germany,3841,2950
147,India,India,5661,1307
148,USA,China,3085,3734
149,India,USA,9633,1789
150,India,USA,5342,4574
151,USA,India,8849,283
152,India,China,8816,103
153,China,China,7121,704
154,India,India,2181,4174
155,Germany,Germany,2283,4848
156,USA,USA,900,1927
157,China,Germany,5413,1082
158,USA,USA,2549,817
159,USA,Germany,1362,4043
160,China,Germany,565,4832
161,India,Germany,4633,2730
162,China,China,4652,3212
163,China,Germany,827,4354
164,India,China,1032,1446
165,USA,USA,4970,592
166,India,China,3637,3048
167,USA,USA,7611,4124
168,Germany,China,3297,2002
169,USA,India,1955,4700
170,Germany,USA,8240,4047
171,Germany,Germany,6602,2899
172,Germany,Germany,2354,1665
173,India,China,3288,2487
174,India,USA,2124,232
175,China,India,256,3141
176,Germany,China,1841,2416
177,China,Germany,6855,709
178,USA,India,5342,4248
179,Germany,Germany,1844,4352
180,India,China,9390,1156
181,USA,China,3589,2168
182,China,USA,8396,3484
183,China,USA,3703,3362
184,India,India,1224,4122
185,China,China,233,4761
186,China,USA,53,2525
187,USA,China,2429,3193
188,India,USA,3609,2396
189,Germany,Germany,1575,203
190,India,China,6053,1705
191,China,USA,3630,750
192,USA,India,9462,1474
193,China,USA,2888,2117
194,Germany,USA,9379,776
195,China,India,124,4522
196,China,USA,9657,1357
197,China,China,4681,2955
198,China,China,1654,2326
199,India,USA,747,1351
200,India,Germany,2893,1893
201,India,Germany,8883,989
202,China,China,5618,2391
203,USA,China,5966,4747
204,China,China,742,217
205,India,USA,5142,682
206,India,Germany,9485,211
207,China,India,5102,729
208,India,USA,6910,4926
209,China,China,195,117
210,India,India,8679,2356
211,China,Germany,1449,2533
212,India,China,6394,1331
213,China,Germany,942,4570
214,China,Germany,346,4869
215,Germany,India,2358,4194
216,Germany,Germany,6676,4703
217,India,USA,4283,4630
218,China,USA,6145,367
219,India,USA,4457,2730
220,China,China,6233,1021
221,China,India,6960,1609
222,USA,USA,3358,4338
223,USA,Germany,82,2169
224,India,USA,5955,342
225,USA,India,3226,1373
226,China,China,6876,1643
227,Germany,Germany,2733,1447
228,USA,India,8690,707
229,USA,Germany,9099,2504
230,Germany,USA,59,4871
231,China,India,3207,4394
232,USA,India,1701,4739
233,China,Germany,3812,4841
234,Germany,India,7725,1184
235,India,USA,6595,4020
236,India,China,2583,2133
237,USA,India,2981,3571
238,China,India,68,3392
239,India,Germany,2153,3744
240,China,USA,1967,1479
241,USA,Germany,7101,3407
242,India,USA,7111,987
243,China,India,1894,4282
244,India,USA,5642,3422
245,Germany,Germany,4620,3572
246,India,Germany,3188,1220
247,India,Germany,1913,4326
248,Germany,USA,4501,4728
249,Germany,China,3029,2048
250,Germany,Germany,3515,782
251,Germany,India,3555,1567
252,Germany,India,1598,1353
253,USA,India,7111,1960
254,USA,China,2492,1321
255,USA,India,467,495
256,Germany,China,6430,4366
257,India,India,626,3322
258,India,India,3231,474
259,China,India,4187,1983
260,China,USA,555,3623
261,Germany,USA,9012,1982
262,China,China,6484,4678
263,India,India,6441,2825
264,USA,China,8394,4604
265,USA,China,5114,3443
266,Germany,Germany,335,3870
267,China,Germany,4515,3224
268,India,USA,3137,3442
269,USA,Germany,8021,4966
270,India,India,6646,2108
271,USA,India,3941,3877
272,Germany,USA,8349,3452
273,Germany,Germany,8703,2450
274,China,India,8922,2779
275,USA,Germany,6518,3316
276,USA,USA,7109,902
277,India,USA,747,4971
278,India,Germany,2856,1533
279,Germany,Germany,3161,1505
280,India,China,7047,108
281,China,India,9313,4993
282,Germany,USA,7660,4096
283,USA,China,4801,2690
284,India,USA,5005,3023
285,USA,USA,5531,3610
286,India,China,6874,955
287,India,China,7654,2017
288,China,India,9169,4228
289,India,China,1042,4911
290,USA,Germany,6392,4509
291,Germany,China,8699,4216
292,China,China,6947,4956
293,India,India,8404,4482
294,India,India,8195,3601
295,USA,China,6614,3456
296,India,China,5026,2994
297,China,USA,5993,337
298,India,China,4561,1456
299,China,India,9511,1112
300,USA,China,6921,4269
301,China,Germany,2977,236
302,Germany,China,4539,1537
303,Germany,USA,1296,2865
304,China,USA,9015,1030
305,USA,USA,4508,2422
306,China,USA,8654,629
307,India,China,4837,4207
308,China,China,4158,503
309,Germany,Germany,3960,972
310,USA,Germany,9134,2496
311,India,India,9653,715
312,China,China,8054,452
313,USA,Germany,6500,987
314,USA,USA,8423,1847
315,China,China,676,2510
316,China,Germany,9877,3579
317,Germany,China,3078,3896
318,Germany,India,2851,4327
319,USA,USA,6855,4061
320,India,USA,1264,692
321,China,China,3014,4104
322,USA,USA,2238,1640
323,India,India,4964,397
324,India,China,8526,4763
325,India,Germany,140,253
326,China,Germany,9620,1504
327,China,China,9367,4971
328,USA,China,2469,4969
329,USA,USA,3581,3929
330,Germany,China,7471,2930
331,USA,USA,6855,551
332,India,China,5411,1094
333,Germany,USA,9864,2420
334,India,China,6422,708
335,India,India,4121,4764
336,China,Germany,4049,790
337,China,USA,2865,3806
338,Germany,Germany,9424,3219
339,USA,Germany,848,3789
340,USA,China,9364,1174
341,India,USA,8312,1386
342,Germany,Germany,6753,3822
343,Germany,China,6220,2722
344,India,Germany,6924,4181
345,India,China,1331,1242
346,China,India,7760,2467
347,India,Germany,3200,2088
348,USA,USA,3496,2378
349,Germany,Germany,3238,1551
350,India,India,6594,3805
351,USA,India,2985,188
352,China,USA,9204,695
353,Germany,India,6208,555
354,India,Germany,5472,482
355,China,Germany,2654,4445
356,China,China,5894,799
357,Germany,Germany,8669,2963
358,India,Germany,4257,1449
359,China,USA,5251,4761
360,Germany,USA,8131,4525
361,USA,India,4784,3530
362,Germany,China,8926,2361
363,USA,China,6434,533
364,China,USA,4219,915
365,India,India,9578,3053
366,India,China,4881,4067
367,Germany,Germany,965,2630
368,USA,USA,2710,3890
369,Germany,Germany,4658,365
370,Germany,China,2368,4463
371,Germany,Germany,9848,1448
372,USA,China,1062,3303
373,Germany,China,2183,2257
374,Germany,USA,9182,1822
375,USA,USA,9816,3781
376,USA,India,3690,1881
377,Germany,India,1166,368
378,India,India,524,2419
379,China,Germany,5793,1582
380,India,Germany,2789,2965
381,India,USA,267,3312
382,India,India,1142,4685
383,China,India,4960,2534
384,USA,India,5888,658
385,Germany,India,5540,1723
386,China,India,9553,3885
387,USA,USA,4932,4002
388,China,China,1813,3243
389,USA,USA,1712,3095
390,USA,India,5180,3297
391,Germany,India,2691,1689
392,USA,China,6045,3820
393,China,USA,2778,3057
394,China,USA,4555,2344
395,Germany,USA,222,3775
396,India,China,5232,4795
397,Germany,India,4499,578
398,India,China,6376,2678
399,China,USA,5964,711
400,USA,Germany,3812,2359
401,China,USA,2702,3135
402,China,USA,2934,1460
403,USA,Germany,2190,3804
404,China,USA,8401,3588
405,Germany,USA,6978,1935
406,Germany,Germany,3037,2458
407,China,USA,684,2824
408,China,India,6237,1731
409,Germany,China,6869,1449
410,China,India,230,4881
411,USA,Germany,7816,459
412,USA,India,6309,3059
413,China,USA,3954,621
414,India,Germany,7425,4766
415,Germany,China,2083,136
416,Germany,India,5847,1926
417,India,USA,5502,1403
418,Germany,USA,9619,4719
419,China,India,4952,1787
420,China,India,9437,247
421,India,USA,8951,1501
422,Germany,USA,7299,695
423,India,Germany,3549,4556
424,India,USA,993,3754
425,Germany,USA,8071,3572
426,Germany,India,8278,2983
427,USA,Germany,5911,475
428,India,USA,4104,3499
429,Germany,China,4801,3896
430,Germany,China,7961,3982
431,China,India,8286,4907
432,China,China,1803,1415
433,USA,USA,9985,670
434,Germany,India,1048,3202
435,India,USA,1072,559
436,India,China,1150,899
437,Germany,Germany,2838,408
438,India,USA,1967,1268
439,China,India,2467,2883
440,USA,India,1886,1804
441,Germany,Germany,9732,297
442,China,Germany,6224,291
443,Germany,China,9657,1078
444,USA,China,2685,2087
445,USA,China,7878,870
446,India,India,8399,3030
447,USA,USA,418,692
448,India,USA,3145,1534
449,China,Germany,8980,4964
450,USA,India,1737,3250
451,USA,China,9670,4815
452,Germany,Germany,4804,919
453,China,USA,1378,1209
454,USA,China,8866,4257
455,USA,China,6245,4579
456,Germany,China,2471,4932
457,Germany,USA,8837,1888
458,USA,Germany,3622,2432
459,India,Germany,8443,3050
460,China,China,9824,4141
461,Germany,USA,3867,4352
462,India,USA,6844,842
463,India,China,3641,4298
464,USA,China,6269,1655
465,China,China,7519,791
466,Germany,Germany,4124,2626
467,India,India,8796,414
468,Germany,Germany,9153,3984
469,Germany,USA,2117,3585
470,China,India,9843,1556
471,Germany,China,6918,3153
472,China,China,8314,4076
473,India,India,5504,1124
474,India,USA,3608,1031
475,China,USA,864,3001
476,Germany,Germany,8712,334
477,China,India,8139,1986
478,USA,China,7054,370
479,USA,Germany,5382,1991
480,Germany,India,6151,4607
481,Germany,China,352,717
482,USA,India,875,4303
483,USA,Germany,6362,272
484,Germany,China,8654,769
485,USA,USA,6746,2980
486,China,China,2860,4596
487,China,China,7653,829
488,Germany,Germany,2706,3329
489,India,China,1985,4725
490,USA,India,6217,2257
491,China,India,952,4025
492,USA,China,9624,1894
493,India,India,3449,1500
494,Germany,China,984,3296
495,China,USA,1372,4707
496,USA,USA,2696,2285
497,India,USA,3501,4626
498,China,USA,7896,177
499,China,Germany,8034,1023
500,India,USA,809,4976
501,USA,Germany,3723,2620
502,Germany,China,3411,4850
503,Germany,China,9884,4604
504,USA,Germany,4572,4652
505,India,USA,1663,3684
506,India,USA,1226,1562
507,India,USA,8905,3465
508,Germany,USA,390,3272
509,USA,USA,552,1666
510,China,China,5649,2788
511,USA,India,3725,471
512,India,India,2782,3466
513,USA,China,4387,4057
514,China,India,4560,4092
515,USA,USA,9267,4521
516,China,USA,6628,1667
517,India,China,8532,1585
518,China,USA,8292,2209
519,India,Germany,3803,133
520,USA,China,9438,3436
521,China,USA,5306,536
522,India,Germany,5843,852
523,India,India,8805,4287
524,USA,USA,9273,3277
525,India,USA,6672,151
526,USA,Germany,5314,1061
527,Germany,China,6366,4880
528,India,Germany,5160,2635
529,India,India,8354,2369
530,USA,USA,2998,1856
531,USA,USA,2404,4805
532,Germany,Germany,4135,3918
533,USA,China,8606,4711
534,USA,Germany,3660,1289
535,India,India,5326,1336
536,India,India,6567,2674
537,USA,USA,5810,986
538,India,Germany,7681,2744
539,USA,China,7719,842
540,Germany,China,2159,2059
541,USA,China,5532,2581
542,USA,India,2392,609
543,USA,China,9769,1875
544,USA,USA,8064,3082
545,China,Germany,5543,1054
546,India,Germany,2310,180
547,China,Germany,624,107
548,China,India,840,1761
549,USA,China,9490,1035
550,USA,India,9929,4792
551,India,India,8672,4583
552,Germany,India,8861,2512
553,USA,Germany,106,2195
554,China,India,6345,3860
555,India,USA,9840,938
556,Germany,India,5361,905
557,India,China,6146,2231
558,USA,Germany,8429,3320
559,USA,China,1942,913
560,Germany,Germany,5467,2681
561,USA,India,2498,4096
562,China,USA,7739,1374
563,Germany,India,4537,2920
564,USA,USA,1325,3853
565,India,Germany,4754,2200
566,Germany,Germany,8966,1585
567,Germany,Germany,544,444
568,Germany,Germany,3906,153
569,India,Germany,2585,2841
570,China,India,3705,2409
571,Germany,China,9033,1514
572,China,USA,5652,1487
573,India,USA,3808,2948
574,USA,India,5421,4106
575,USA,China,4970,3370
576,Germany,China,9503,3964
577,USA,China,2515,2443
578,USA,Germany,3067,868
579,USA,China,5321,2573
580,China,India,8539,2812
581,China,India,7360,4591
582,USA,Germany,1490,2610
583,India,USA,703,4270
584,Germany,USA,6665,2730
585,China,Germany,1085,1625
586,Germany,China,4851,1176
587,China,Germany,2678,4341
588,Germany,USA,1972,619
589,India,India,2405,3482
590,India,Germany,7944,2968
591,USA,India,4241,1106
592,China,USA,9424,2559
593,Germany,China,3828,3396
594,China,China,5356,3072
595,USA,USA,4870,1958
596,India,USA,3091,4509
597,USA,USA,998,476
598,India,USA,3904,3043
599,Germany,USA,5833,3071
600,Germany,India,2563,1073
601,China,USA,8707,1501
602,China,China,9225,1241
603,USA,USA,7286,4737
604,China,USA,3755,4372
605,Germany,USA,2640,3869
606,India,USA,7673,3919
607,USA,USA,1468,1132
608,India,China,157,4784
609,Germany,China,8297,1778
610,India,China,7950,4004
611,India,USA,4487,4775
612,USA,China,8579,2859
613,India,China,5318,3325
614,Germany,USA,3146,1653
615,Germany,Germany,3040,1683
616,China,Germany,2241,2427
617,Germany,Germany,4801,2880
618,India,USA,9617,3680
619,Germany,India,5427,598
620,Germany,India,2761,170
621,India,Germany,8277,4361
622,India,China,5885,611
623,China,China,3218,3785
624,Germany,Germany,4988,1384
625,China,USA,7368,2274
626,USA,Germany,608,4376
627,Germany,India,6981,3789
628,India,China,5900,2382
629,Germany,Germany,3789,2161
630,Germany,India,879,189
631,India,Germany,8082,2001
632,China,Germany,5957,1941
633,USA,China,4189,3375
634,USA,USA,7422,3038
635,China,Germany,8328,3672
636,India,China,8595,4728
637,China,China,8381,1300
638,China,USA,2913,3281
639,India,India,5615,4966
640,China,USA,1639,4716
641,USA,China,3119,1353
642,USA,Germany,916,3636
643,China,USA,1651,4836
644,Germany,USA,3990,4698
645,USA,USA,2949,2307
646,Germany,India,5012,3857
647,China,India,3054,1061
648,USA,Germany,7422,2498
649,China,India,7354,3289
650,India,Germany,9161,232
651,USA,India,927,2545
652,China,China,4171,3890
653,India,USA,840,4658
654,USA,USA,5624,1239
655,USA,India,3046,1580
656,Germany,USA,143,3244
657,USA,China,9764,3474
658,USA,China,1913,311
659,China,India,2639,4685
660,Germany,China,6344,4069
661,China,Germany,8678,1329
662,India,USA,228,2000
663,India,China,277,2943
664,China,USA,5414,3762
665,Germany,China,3429,3292
666,USA,India,8490,251
667,Germany,India,5541,1522
668,USA,Germany,1738,3936
669,India,China,1881,3847
670,Germany,India,1129,381
671,Germany,India,8833,3303
672,USA,China,5315,4039
673,Germany,China,4006,2052
674,China,India,7117,3807
675,USA,India,1526,4286
676,USA,China,448,1759
677,Germany,China,7520,3973
678,USA,India,4156,3356
679,Germany,China,9878,2127
680,Germany,Germany,1414,4255
681,India,India,2319,583
682,China,Germany,7810,2623
683,USA,USA,8627,2779
684,India,India,662,1992
685,USA,India,9209,2367
686,Germany,India,6805,3223
687,India,China,4804,2079
688,China,Germany,1486,2408
689,USA,Germany,7919,843
690,India,China,1128,4821
691,China,China,8505,737
692,India,China,1517,4827
693,India,India,6856,1600
694,Germany,Germany,1633,4781
695,India,USA,3800,3456
696,India,USA,3643,1403
697,India,India,3905,3872
698,China,China,5507,3641
699,USA,USA,5743,4999
700,Germany,India,4930,1028
701,India,China,9352,4455
702,Germany,Germany,326,168
703,India,USA,2718,660
704,Germany,China,6438,3659
705,India,USA,8512,2855
706,India,India,3546,660
707,China,USA,9074,4643
708,India,China,3096,3526
709,Germany,China,2822,4386
710,Germany,Germany,3176,1945
711,China,China,2153,1805
712,Germany,USA,9242,4620
713,China,USA,7866,4128
714,USA,Germany,9597,4877
715,Germany,USA,1431,2135
716,India,Germany,8883,1966
717,Germany,USA,510,1743
718,USA,Germany,932,3990
719,India,China,865,2524
720,USA,Germany,5600,1177
721,USA,India,9769,3753
722,USA,Germany,4723,1285
723,China,India,2409,2136
724,India,Germany,9541,2470
725,India,India,1623,4085
726,India,India,6088,4942
727,Germany,Germany,3843,535
728,India,Germany,9713,2139
729,Germany,USA,5502,3152
730,Germany,Germany,806,475
731,China,USA,3107,1038
732,Germany,Germany,2337,646
733,China,China,698,4534
734,Germany,USA,120,2412
735,India,Germany,3194,3029
736,Germany,USA,2477,4905
737,India,USA,9525,3854
738,China,Germany,2747,2409
739,India,China,6729,902
740,China,China,4938,811
741,Germany,India,6337,3341
742,Germany,Germany,3473,1042
743,China,China,6488,2708
744,India,China,9756,4259
745,China,China,6847,665
746,Germany,Germany,3747,3595
747,USA,China,3158,974
748,India,USA,3519,1059
749,USA,Germany,3164,3470
750,China,USA,8457,2202
751,China,USA,4491,658
752,USA,India,7217,3957
753,USA,Germany,6561,1602
754,Germany,India,4071,4341
755,India,China,4828,415
756,India,USA,5006,3468
757,China,USA,7974,1295
758,Germany,India,2938,1600
759,USA,China,6824,454
760,India,India,9391,136
761,Germany,USA,8327,3991
762,China,USA,5146,2852
763,USA,USA,2740,1530
764,China,USA,9814,3352
765,India,Germany,7317,3730
766,China,Germany,7949,1890
767,Germany,Germany,4850,3465
768,Germany,China,8386,4119
769,China,Germany,3472,4352
770,China,China,9819,1829
771,China,India,2434,4417
772,Germany,India,216,666
773,USA,USA,1023,4258
774,India,Germany,2221,1781
775,China,Germany,1452,2782
776,China,Germany,8898,2064
777,USA,USA,2215,826
778,Germany,USA,2481,2075
779,China,Germany,5691,4451
780,Germany,China,1449,3291
781,Germany,India,3702,4069
782,Germany,USA,938,4634
783,USA,USA,6691,4626
784,India,China,9955,1554
785,China,India,6606,1503
786,China,USA,4762,2962
787,USA,Germany,2506,403
788,India,China,725,3071
789,Germany,China,8716,968
790,USA,China,1357,3208
791,USA,India,4450,1450
792,USA,Germany,4868,2783
793,Germany,Germany,9343,1970
794,India,Germany,6143,4134
795,China,China,5957,746
796,China,India,58,3636
797,India,China,6974,3812
798,Germany,India,6255,2775
799,Germany,USA,1202,3766
800,USA,Germany,1499,2329
801,China,Germany,1653,184
802,Germany,Germany,2369,4757
803,India,China,6795,4048
804,USA,USA,6892,4994
805,USA,Germany,2650,524
806,India,USA,4691,3137
807,Germany,India,110,3792
808,China,Germany,6995,1846
809,Germany,China,5589,527
810,India,Germany,5094,4704
811,India,Germany,5928,1243
812,China,USA,9972,1928
813,China,USA,3771,441
814,Germany,China,8726,3043
815,USA,USA,1755,4222
816,Germany,USA,6824,2928
817,USA,India,8085,4495
818,USA,USA,4066,411
819,China,Germany,5831,339
820,India,China,1383,4836
821,Germany,Germany,2029,3834
822,Germany,India,5582,2086
823,India,China,6139,670
824,China,China,4570,758
825,India,Germany,1734,3584
826,China,USA,4500,2836
827,USA,USA,8897,533
828,USA,India,7057,3597
829,India,USA,6390,938
830,China,Germany,8756,2731
831,Germany,China,3030,2722
832,China,China,7700,4204
833,Germany,China,6982,3778
834,USA,India,2836,1025
835,India,China,2706,4213
836,Germany,India,472,939
837,Germany,China,8633,1574
838,India,India,3065,1966
839,Germany,India,6834,1242
840,USA,India,178,4434
841,USA,Germany,9830,521
842,Germany,USA,7589,1792
843,China,USA,9001,247
844,China,Germany,6051,1213
845,China,USA,5844,4538
846,Germany,China,7183,4361
847,India,Germany,5626,3071
848,USA,China,1372,761
849,Germany,China,3482,4061
850,USA,China,8546,1268
851,Germany,India,5245,2513
852,China,Germany,8867,766
853,China,India,6382,2214
854,Germany,Germany,1708,1679
855,India,USA,7616,2410
856,India,India,2684,2133
857,Germany,Germany,5336,827
858,India,USA,3350,2576
859,USA,China,4329,1147
860,India,China,2601,3750
861,USA,China,5128,494
862,USA,China,2197,246
863,India,China,1070,4025
864,USA,USA,7479,178
865,India,USA,2561,2044
866,Germany,China,318,929
867,USA,China,3177,1105
868,USA,India,5761,4243
869,China,Germany,6829,410
870,USA,India,2088,2428
871,India,India,6843,192
872,Germany,USA,6764,164
873,India,Germany,1383,3965
874,China,Germany,4402,4865
875,India,USA,7706,2006
876,India,Germany,8137,3241
877,Germany,USA,2974,4240
878,China,Germany,3482,4521
879,China,USA,3979,251
880,India,India,6372,1478
881,India,USA,7289,2043
882,China,Germany,8084,1237
883,Germany,Germany,2009,1936
884,USA,Germany,2435,2824
885,China,USA,2041,2157
886,China,India,3608,871
887,China,China,8104,560
888,Germany,China,9823,4568
889,China,India,6297,3537
890,Germany,Germany,9573,2183
891,Germany,USA,5910,3175
892,India,USA,6495,3345
893,Germany,USA,7654,2570
894,China,India,5691,3463
895,China,USA,3293,3911
896,USA,USA,3062,3046
897,USA,China,2580,2823
898,India,Germany,6355,2069
899,USA,India,3004,560
900,USA,Germany,2646,4023
901,India,USA,5455,2644
902,Germany,Germany,7088,3773
903,China,Germany,4855,1523
904,India,Germany,3823,4468
905,China,USA,1110,2596
906,Germany,China,9092,4608
907,USA,China,2123,4582
908,China,India,9375,4224
909,USA,Germany,1392,3004
910,USA,USA,3879,4328
911,India,China,1552,941
912,USA,USA,521,1069
913,China,Germany,8211,1896
914,India,China,214,1732
915,Germany,India,7321,1894
916,Germany,Germany,5472,2430
917,USA,China,8015,4014
918,India,USA,2920,2901
919,China,USA,7944,1200
920,Germany,Germany,9275,2728
921,India,China,8713,622
922,China,India,3625,632
923,China,China,602,1073
924,USA,India,8007,3045
925,China,Germany,408,4305
